datum;tags1;tag2;tag3;Bundesland;;Artikel
03.01.2025;Polizei;Einsatz;"Öffentliche Ordnung""";Bayern;Starkregen führte zu einzelnen Ãœberschwemmungen von Kellern.;"An diesem frostigen Januarmorgen führte die Augsburger Polizei eine Routinekontrolle durch – zumindest dachten alle, es sei Routine. Doch während die Kontrolle fortschritt, bemerkte eine junge Polizistin eine unscheinbare Kiste auf dem Rücksitz eines alten Kombis. Darin fand sie ein kleines, mechanisches Uhrwerk, das ununterbrochen tickte, aber offenbar zu keiner Uhr gehörte.
Der Fahrer erklärte nervös, er habe es auf einem Flohmarkt gekauft, und plötzlich erinnerte er sich an den Verkäufer: ein älterer Herr mit Augen, die wirkten, als wüssten sie mehr über Zeit, als ein Mensch sollte.
Die Polizistin nahm das Uhrwerk mit – und seit diesem Tag blieb es in der Asservatenkammer ununterbrochen aktiv. Niemand weiß, was es zählt."
07.01.2025;Feuerwehr;Brand;"Wohnhaus""";Hamburg;Ein Küchenbrand in einem Mehrfamilienhaus konnte frühzeitig gelöscht werden. Verletzt wurde niemand.;"In einem Mehrfamilienhaus in Altona brach Feuer in einer Küche aus. Während die Feuerwehr den Brand unter Kontrolle brachte, hörten sie plötzlich ein leises Kratzen hinter der Wand.
Als sie die Verkleidung öffneten, fanden sie eine Katze – aber nicht irgendeine. Die Fellzeichnung wirkte wie der Umriss eines brennenden Hauses. Der Mieter schwor, die Katze sei erst seit dem Brand „so gestreift“.
Seit diesem Tag nennen die Bewohner sie „die Wächterin“. Und seltsamerweise hat es seitdem im ganzen Haus keinen einzigen technischen Defekt mehr gegeben."
12.01.2025;Wirtschaft;Handel;"Region""";Hessen;Einzelhändler in Wiesbaden melden eine steigende Nachfrage nach regionalen Produkten zum Jahresbeginn.;"Die Händler der Innenstadt wunderten sich über die ungewöhnlich hohe Nachfrage nach Kerzen – obwohl die Stromversorgung völlig stabil war.
Eines Abends betrat ein mysteriöser Mann den Laden von Frau Reger und kaufte sämtliche weißen Kerzen auf. Er sprach kaum, doch als er den Laden verließ, wehte ein Windstoß durch die Tür, obwohl draußen kaum ein Lüftchen ging.
In derselben Nacht sahen mehrere Anwohner eine schweigende, weiß gekleidete Gestalt durch die Straßen wandern – immer nur kurz sichtbar, wie ein Schatten, der nicht ganz im Licht stand.
Am nächsten Morgen brannten in ganz Wiesbaden kleine Kerzenreste auf den Bürgersteigen. Niemand wusste, von wem."
16.01.2025;Kultur;Lesung;"Bibliothek""";Berlin;In der Stadtbibliothek Mitte fand eine Lesung mit lokalen Autorinnen und Autoren statt.;"Die Veranstaltung begann ganz normal – ein Autor las aus seinem neuen Roman über vergessene Orte in Berlin. Doch als er ein bestimmtes Kapitel erreichte, begann die Luft im Saal leicht nach feuchtem Stein zu riechen.
Eine Zuhörerin berichtete später, sie habe beim Zuhören plötzlich das Gefühl gehabt, unter der Stadt zu stehen. Der Autor wirkte überrascht, aber er las weiter.
Nach der Lesung wollten mehrere Gäste das vorgelesene Kapitel im gedruckten Buch nachlesen – doch es war nicht darin enthalten. Der Autor schwor, es nie geschrieben zu haben.
Seitdem meidet er die Kellerräume der Bibliothek."
22.01.2025;Umwelt;Naturschutz;"Projekt""";Brandenburg;Ein neues Aufforstungsprojekt in der Uckermark wurde offiziell gestartet.;"Freiwillige und Förster arbeiteten gemeinsam daran, eine große Lichtung zu bepflanzen. Doch eine kleine Fläche weigerte sich hartnäckig, Setzlinge zu halten – als würde der Boden selbst sie wieder ausspucken.
Ein älterer Einwohner erzählte, dort habe früher ein riesiger, uralter Baum gestanden, den man nie hätte fällen dürfen.
In der Nacht nach dieser Erzählung hörten einige Helfer ein tiefes, rhythmisches Grollen aus dem Wald – wie atmender Boden.
Am nächsten Morgen wuchs mitten auf der besagten Fläche ein einzelner junger Baum, der am Vortag definitiv noch nicht da gewesen war."
29.01.2025;Sport;Turnier;"Jugend""";Sachsen;In Chemnitz traten zwölf Jugendmannschaften bei einem Hallenturnier gegeneinander an.;In der Sporthalle war die Luft elektrisch. Die Teams rannten, schrien, lachten. Doch das kleinste Team – die „Waldfüchse“ – hatte einen Spieler, der nie schwitzte: Milan. Er schoss Tore, als hätte er die Flugbahn vorher gesehen. Nach dem Finale, das die Waldfüchse überraschend gewannen, fragte man ihn nach seinem Training. Er zuckte nur mit den Schultern und zeigte in die Ecke der Halle auf einen Stapel alter Bälle. „Die haben mir’s beigebracht“, sagte er. Als der Hausmeister später abschloss, hörte er aus der dunklen Halle leises Klopfen. Am nächsten Morgen lagen alle Bälle ordentlich in einer Reihe, wie nach einem nächtlichen Geheimtraining.
04.02.2025;Polizei;Verkehr;"Kontrolle""";Nordrhein-Westfalen;Bei einer Schwerpunktkontrolle in Essen wurden über 200 Fahrzeuge überprüft.;Unter den vielen Autos fiel ein rostiger Lieferwagen auf, dessen Fahrer freundlich wirkte, aber nervös mit den Fingern trommelte. Im Laderaum fanden die Beamten keine Ware, sondern ein zusammengebautes Mini-Planetarium. Der Mann, ein ehemaliger Physiklehrer, erklärte, er fahre nachts durch das Ruhrgebiet und zeige Kindern die Sterne, weil man sie in der Stadt kaum noch sieht. „Ich habe keine Lizenz“, gab er zu. Die Polizistin sah sich um: im Wagen klebten Zeichnungen von Kindern, auf denen Saturn lächelte und die Milchstraße wie ein Fluss aussah. Sie gab ihm keine Strafe. Stattdessen begleiteten die Beamten ihn abends zu einem Schulhof. Als das Planetarium anging, hielt selbst der härteste Polizist unwillkürlich den Atem an.
09.02.2025;Feuerwehr;Technische Hilfeleistung;"Unfall""";Niedersachsen;Nach einem kleinen Unfall musste die Feuerwehr ein Fahrzeug aus einem Straßengraben bergen.;"Das Auto lag schief im Straßengraben, aber erstaunlich unbeschädigt. Die Fahrerin, eine ältere Dame, war völlig ruhig. „Ich musste ausweichen“, sagte sie. „Da stand plötzlich ein Reh – mit einem roten Schal.“ Niemand glaubte ihr. Doch als die Feuerwehr den Wagen hochzog, fiel aus dem Gebüsch tatsächlich ein roter Schal, frisch gestrickt und warm, als käme er gerade aus der Tasche. Im Schal war ein kleines Etikett eingenäht: „Für den, der aufpasst.“ Die Dame lächelte, als wäre das der normalste Fund der Welt. „Sehen Sie“, sagte sie. „Er hat’s wieder geschafft."""
15.02.2025;Bildung;Schule;"Workshop""";Thüringen;An einer Schule in Jena fand ein Workshop zu digitalem Lernen statt.;Der Workshop war modern, voller Tablets und Lern-Apps. Als die Schüler testeten, wie KI Texte schreibt, gab eine Schülerin den Prompt ein: „Erzähl mir eine Geschichte über unsere Schule in 50 Jahren.“ Der Bildschirm flackerte. Statt Text erschien ein Foto – ein echtes – von der Schule, überwachsen von Efeu, aber davor standen Kinder, die exakt wie sie aussahen. Ein Lehrer meinte, das sei ein Bug. Doch die Datei trug das Datum 15.02.2075. Niemand konnte erklären, woher das Bild kam. Seitdem nennen die Schüler das Tablet „die Zeitkapsel“ – und behandeln es wie ein stilles Orakel.
23.02.2025;Kultur;Ausstellung;"Museum""";Bremen;Das Landesmuseum eröffnete eine neue Ausstellung zur Industriegeschichte.;In der Ausstellung stand eine alte Turbine, groß wie ein Pferd. Neben ihr ein Knopf: „Starten (nur simuliert)“. Ein kleiner Junge drückte ihn, und die Turbine begann zu surren – nicht laut, aber irgendwie lebendig. Die Museumsführerin schaute irritiert: eigentlich sollte nur ein Sound abgespielt werden. Doch der Metallkörper vibrierte wirklich. Als der Junge die Hand auflegte, sah er plötzlich Bilder: Arbeiter, Dampf, Wiesengrund vor den Fabriken. Er zog die Hand zurück und sagte: „Sie will nicht still sein.“ Später stellte man fest: Der Knopf war gar nicht angeschlossen.
